Player,Player-additional
De'Anthony Melton,meltode01
James Harden,hardeja01
Tyrese Maxey,maxeyty01
P.J. Tucker,tuckepj01
Shake Milton,miltosh01
Georges Niang,niangge01
Danuel House Jr.,houseda01
Paul Reed,reedpa01
Montrezl Harrell,harremo01
Matisse Thybulle,thybuma01
Jalen McDaniels,mcdanja01
Furkan Korkmaz,korkmfu01
Jaden Springer,sprinja01
Dewayne Dedmon,dedmode01
Mac McClung,mccluma01
Louis King,kinglo02
Saben Lee,leesa01
Julian Champagnie,champju02
Michael Foster Jr.,fostemi02
